time,search_service,shop_service,web_service
0,1,12,16
1,1,13,16
2,1,14,17
3,1,16,18
4,1,17,17
5,1,18,15
6,1,19,14
7,1,21,12
8,1,22,12
9,1,24,11
10,1,26,11
11,1,27,10
12,0,28,11
13,0,29,11
14,0,30,11
15,0,30,12
16,0,30,14
17,0,30,15
18,0,30,17
19,0,30,21
20,1,30,26
21,1,30,31
22,3,30,35
23,4,30,34
24,5,31,31
25,6,32,27
26,8,33,23
27,9,33,22
28,11,33,23
29,13,34,23
30,14,34,24
31,16,34,24
32,18,35,25
33,19,34,25
34,21,36,25
35,22,36,26
36,24,38,27
37,25,38,27
38,25,39,28
39,26,38,28
40,27,38,29
41,28,37,29
42,28,36,30
43,29,34,31
44,30,32,32
45,30,30,33
46,31,30,33
47,31,29,32
48,31,29,32
49,32,28,31
50,32,27,29
51,32,27,27
52,32,27,24
53,32,26,22
54,32,26,22
55,32,25,21
56,32,25,21
57,30,24,20
58,29,23,20
59,28,22,20
60,26,22,20
61,25,22,20
62,24,22,20
63,22,21,19
64,21,21,19
65,20,21,18
66,19,21,16
67,18,21,14
68,17,21,11
69,15,22,11
70,14,22,11
71,12,22,10
72,12,21,10
73,11,20,10
74,10,18,9
75,9,17,9
76,8,17,9
77,7,17,8
78,6,16,7
79,6,16,6
80,5,15,7
81,4,13,9
82,3,11,12
83,3,10,14
84,3,10,16
85,2,10,16
86,3,10,16
87,2,10,16
88,2,11,16
89,2,13,16
90,2,14,16
91,1,15,16
92,1,16,17
93,1,17,18
94,1,18,19
95,1,15,18
